t,x,y,x_out,y_out
0,0.54378,0.20457,0,0
1,0.54378,0.20457,0.54378,0.20457
2,0.54378,0.20457,1.0876,0.31114
3,0.54378,0.20457,1.6314,0.31971
4,0.54378,0.20457,2.1751,0.23028
5,0.54378,0.20457,2.7189,0.042855
0,0.50327,0.69713,0,0
1,0.50327,0.69713,0.50327,0.69713
2,0.50327,0.69713,1.0065,1.2963
3,0.50327,0.69713,1.5098,1.7974
4,0.50327,0.69713,2.0131,2.2005
5,0.50327,0.69713,2.5164,2.5057
6,0.50327,0.69713,3.0196,2.7128
7,0.50327,0.69713,3.5229,2.8219
8,0.50327,0.69713,4.0262,2.8331
9,0.50327,0.69713,4.5295,2.7462
10,0.50327,0.69713,5.0327,2.5613
11,0.50327,0.69713,5.536,2.2785
12,0.50327,0.69713,6.0393,1.8976
13,0.50327,0.69713,6.5426,1.4187
14,0.50327,0.69713,7.0458,0.84187
15,0.50327,0.69713,7.5491,0.16701
0,0.47918,0.31209,0,0
1,0.47918,0.31209,0.47918,0.31209
2,0.47918,0.31209,0.95836,0.52618
3,0.47918,0.31209,1.4375,0.64227
4,0.47918,0.31209,1.9167,0.66036
5,0.47918,0.31209,2.3959,0.58045
6,0.47918,0.31209,2.8751,0.40253
7,0.47918,0.31209,3.3543,0.12662
0,1.1328,1.3499,0,0
1,1.1328,1.3499,1.1328,1.3499
2,1.1328,1.3499,2.2656,2.6017
3,1.1328,1.3499,3.3983,3.7556
4,1.1328,1.3499,4.5311,4.8115
5,1.1328,1.3499,5.6639,5.7693
6,1.1328,1.3499,6.7967,6.6292
7,1.1328,1.3499,7.9294,7.391
8,1.1328,1.3499,9.0622,8.0549
9,1.1328,1.3499,10.195,8.6208
10,1.1328,1.3499,11.328,9.0886
11,1.1328,1.3499,12.461,9.4585
12,1.1328,1.3499,13.593,9.7304
13,1.1328,1.3499,14.726,9.9042
14,1.1328,1.3499,15.859,9.9801
15,1.1328,1.3499,16.992,9.9579
16,1.1328,1.3499,18.124,9.8378
17,1.1328,1.3499,19.257,9.6197
18,1.1328,1.3499,20.39,9.3035
19,1.1328,1.3499,21.523,8.8894
20,1.1328,1.3499,22.656,8.3773
21,1.1328,1.3499,23.788,7.7671
22,1.1328,1.3499,24.921,7.059
23,1.1328,1.3499,26.054,6.2528
24,1.1328,1.3499,27.187,5.3487
25,1.1328,1.3499,28.319,4.3466
26,1.1328,1.3499,29.452,3.2464
27,1.1328,1.3499,30.585,2.0483
28,1.1328,1.3499,31.718,0.75216
0,0.76412,1.0027,0,0
1,0.76412,1.0027,0.76412,1.0027
2,0.76412,1.0027,1.5282,1.9074
3,0.76412,1.0027,2.2924,2.7142
4,0.76412,1.0027,3.0565,3.4229
5,0.76412,1.0027,3.8206,4.0336
6,0.76412,1.0027,4.5847,4.5463
7,0.76412,1.0027,5.3488,4.9611
8,0.76412,1.0027,6.113,5.2778
9,0.76412,1.0027,6.8771,5.4965
10,0.76412,1.0027,7.6412,5.6172
11,0.76412,1.0027,8.4053,5.6399
12,0.76412,1.0027,9.1694,5.5647
13,0.76412,1.0027,9.9336,5.3914
14,0.76412,1.0027,10.698,5.1201
15,0.76412,1.0027,11.462,4.7508
16,0.76412,1.0027,12.226,4.2836
17,0.76412,1.0027,12.99,3.7183
18,0.76412,1.0027,13.754,3.055
19,0.76412,1.0027,14.518,2.2937
20,0.76412,1.0027,15.282,1.4344
21,0.76412,1.0027,16.047,0.47716
0,0.82219,0.31706,0,0
1,0.82219,0.31706,0.82219,0.31706
2,0.82219,0.31706,1.6444,0.53613
3,0.82219,0.31706,2.4666,0.65719
