t,x,y
0,70.7107,70.6617
1,70.7107,70.6617
2,70.7107,70.6617
3,70.7107,70.6617
4,70.7107,70.6617
5,70.7107,70.6617
6,70.7107,70.6617
7,70.7107,70.6617
8,70.7107,70.6617
9,70.7107,70.6617
10,70.7107,70.6617
11,70.7107,70.6617
12,70.7107,70.6617
13,70.7107,70.6617
14,70.7107,70.6617
15,70.7107,70.6617
16,70.7107,70.6617
17,70.7107,70.6617
18,70.7107,70.6617
19,70.7107,70.6617
20,70.7107,70.6617
21,70.7107,70.6617
22,70.7107,70.6617
23,70.7107,70.6617
24,70.7107,70.6617
25,70.7107,70.6617
26,70.7107,70.6617
27,70.7107,70.6617
28,70.7107,70.6617
29,70.7107,70.6617
30,70.7107,70.6617
31,70.7107,70.6617
32,70.7107,70.6617
33,70.7107,70.6617
34,70.7107,70.6617
35,70.7107,70.6617
36,70.7107,70.6617
37,70.7107,70.6617
38,70.7107,70.6617
39,70.7107,70.6617
40,70.7107,70.6617
41,70.7107,70.6617
42,70.7107,70.6617
43,70.7107,70.6617
44,70.7107,70.6617
45,70.7107,70.6617
46,70.7107,70.6617
47,70.7107,70.6617
48,70.7107,70.6617
49,70.7107,70.6617
50,70.7107,70.6617
51,70.7107,70.6617
52,70.7107,70.6617
53,70.7107,70.6617
54,70.7107,70.6617
55,70.7107,70.6617
56,70.7107,70.6617
57,70.7107,70.6617
58,70.7107,70.6617
59,70.7107,70.6617
60,70.7107,70.6617
61,70.7107,70.6617
62,70.7107,70.6617
63,70.7107,70.6617
64,70.7107,70.6617
65,70.7107,70.6617
66,70.7107,70.6617
67,70.7107,70.6617
68,70.7107,70.6617
69,70.7107,70.6617
70,70.7107,70.6617
71,70.7107,70.6617
72,70.7107,70.6617
73,70.7107,70.6617
74,70.7107,70.6617
75,70.7107,70.6617
76,70.7107,70.6617
77,70.7107,70.6617
78,70.7107,70.6617
79,70.7107,70.6617
80,70.7107,70.6617
81,70.7107,70.6617
82,70.7107,70.6617
83,70.7107,70.6617
84,70.7107,70.6617
85,70.7107,70.6617
86,70.7107,70.6617
87,70.7107,70.6617
88,70.7107,70.6617
89,70.7107,70.6617
90,70.7107,70.6617
91,70.7107,70.6617
92,70.7107,70.6617
93,70.7107,70.6617
94,70.7107,70.6617
95,70.7107,70.6617
96,70.7107,70.6617
97,70.7107,70.6617
98,70.7107,70.6617
99,70.7107,70.6617
100,70.7107,70.6617
101,70.7107,70.6617
102,70.7107,70.6617
103,70.7107,70.6617
104,70.7107,70.6617
105,70.7107,70.6617
106,70.7107,70.6617
107,70.7107,70.6617
108,70.7107,70.6617
109,70.7107,70.6617
110,70.7107,70.6617
111,70.7107,70.6617
112,70.7107,70.6617
113,70.7107,70.6617
114,70.7107,70.6617
115,70.7107,70.6617
116,70.7107,70.6617
117,70.7107,70.6617
118,70.7107,70.6617
119,70.7107,70.6617
120,70.7107,70.6617
121,70.7107,70.6617
122,70.7107,70.6617
123,70.7107,70.6617
124,70.7107,70.6617
125,70.7107,70.6617
126,70.7107,70.6617
127,70.7107,70.6617
128,70.7107,70.6617
129,70.7107,70.6617
130,70.7107,70.6617
131,70.7107,70.6617
132,70.7107,70.6617
133,70.7107,70.6617
134,70.7107,70.6617
135,70.7107,70.6617
136,70.7107,70.6617
137,70.7107,70.6617
138,70.7107,70.6617
139,70.7107,70.6617
140,70.7107,70.6617
141,70.7107,70.6617
142,70.7107,70.6617
143,70.7107,70.6617
144,70.7107,70.6617
145,70.7107,70.6617
146,70.7107,70.6617
147,70.7107,70.6617
148,70.7107,70.6617
149,70.7107,70.6617
150,70.7107,70.6617
151,70.7107,70.6617
152,70.7107,70.6617
153,70.7107,70.6617
154,70.7107,70.6617
155,70.7107,70.6617
156,70.7107,70.6617
157,70.7107,70.6617
158,70.7107,70.6617
159,70.7107,70.6617
160,70.7107,70.6617
161,70.7107,70.6617
162,70.7107,70.6617
163,70.7107,70.6617
164,70.7107,70.6617
165,70.7107,70.6617
166,70.7107,70.6617
167,70.7107,70.6617
168,70.7107,70.6617
169,70.7107,70.6617
170,70.7107,70.6617
171,70.7107,70.6617
172,70.7107,70.6617
173,70.7107,70.6617
174,70.7107,70.6617
175,70.7107,70.6617
176,70.7107,70.6617
177,70.7107,70.6617
178,70.7107,70.6617
179,70.7107,70.6617
180,70.7107,70.6617
181,70.7107,70.6617
182,70.7107,70.6617
183,70.7107,70.6617
184,70.7107,70.6617
185,70.7107,70.6617
186,70.7107,70.6617
187,70.7107,70.6617
188,70.7107,70.6617
189,70.7107,70.6617
190,70.7107,70.6617
191,70.7107,70.6617
192,70.7107,70.6617
193,70.7107,70.6617
194,70.7107,70.6617
195,70.7107,70.6617
196,70.7107,70.6617
197,70.7107,70.6617
198,70.7107,70.6617
199,70.7107,70.6617
200,70.7107,70.6617
201,70.7107,70.6617
202,70.7107,70.6617
203,70.7107,70.6617
204,70.7107,70.6617
205,70.7107,70.6617
206,70.7107,70.6617
207,70.7107,70.6617
208,70.7107,70.6617
209,70.7107,70.6617
210,70.7107,70.6617
211,70.7107,70.6617
212,70.7107,70.6617
213,70.7107,70.6617
214,70.7107,70.6617
215,70.7107,70.6617
216,70.7107,70.6617
217,70.7107,70.6617
218,70.7107,70.6617
219,70.7107,70.6617
220,70.7107,70.6617
221,70.7107,70.6617
222,70.7107,70.6617
223,70.7107,70.6617
