x,y
70.711,70.662
141.42,141.23
212.13,211.69
282.84,282.06
353.55,352.33
424.26,422.5
494.97,492.57
565.69,562.55
636.4,632.43
707.11,702.21
777.82,771.89
848.53,841.47
919.24,910.96
989.95,980.35
1060.7,1049.6
1131.4,1118.8
1202.1,1187.9
1272.8,1256.9
1343.5,1325.8
1414.2,1394.6
1484.9,1463.3
1555.6,1531.9
1626.3,1600.4
1697.1,1668.8
1767.8,1737.1
1838.5,1805.4
1909.2,1873.5
1979.9,1941.5
2050.6,2009.4
2121.3,2077.2
2192,2144.9
2262.7,2212.6
2333.5,2280.1
2404.2,2347.5
2474.9,2414.8
2545.6,2482.1
2616.3,2549.2
2687,2616.2
2757.7,2683.2
2828.4,2750
2899.1,2816.8
2969.8,2883.4
3040.6,2950
3111.3,3016.4
3182,3082.8
3252.7,3149
3323.4,3215.2
3394.1,3281.2
3464.8,3347.2
3535.5,3413
3606.2,3478.8
3677,3544.5
3747.7,3610
3818.4,3675.5
3889.1,3740.9
3959.8,3806.1
4030.5,3871.3
4101.2,3936.4
4171.9,4001.4
4242.6,4066.2
4313.4,4131
4384.1,4195.7
4454.8,4260.3
4525.5,4324.8
4596.2,4389.2
4666.9,4453.5
4737.6,4517.7
4808.3,4581.8
4879,4645.7
4949.7,4709.6
5020.5,4773.4
5091.2,4837.2
5161.9,4900.8
5232.6,4964.3
5303.3,5027.7
5374,5091
5444.7,5154.2
5515.4,5217.3
5586.1,5280.3
5656.9,5343.3
5727.6,5406.1
5798.3,5468.8
5869,5531.4
5939.7,5594
6010.4,5656.4
6081.1,5718.7
6151.8,5780.9
6222.5,5843.1
6293.3,5905.1
6364,5967.1
6434.7,6028.9
6505.4,6090.6
6576.1,6152.3
6646.8,6213.8
6717.5,6275.3
6788.2,6336.6
6858.9,6397.9
6929.6,6459.1
7000.4,6520.1
7071.1,6581.1
7141.8,6641.9
7212.5,6702.7
7283.2,6763.4
7353.9,6823.9
7424.6,6884.4
7495.3,6944.8
7566,7005
7636.8,7065.2
7707.5,7125.3
7778.2,7185.3
7848.9,7245.2
7919.6,7304.9
7990.3,7364.6
8061,7424.2
8131.7,7483.7
8202.4,7543.1
8273.1,7602.4
8343.9,7661.6
8414.6,7720.7
8485.3,7779.7
8556,7838.6
8626.7,7897.4
8697.4,7956.1
8768.1,8014.7
8838.8,8073.2
8909.5,8131.6
8980.3,8189.9
9051,8248.2
9121.7,8306.3
9192.4,8364.3
9263.1,8422.2
9333.8,8480
9404.5,8537.8
9475.2,8595.4
9545.9,8652.9
9616.7,8710.3
9687.4,8767.7
9758.1,8824.9
9828.8,8882.1
9899.5,8939.1
9970.2,8996
10041,9052.9
10112,9109.6
10182,9166.3
10253,9222.8
10324,9279.3
10394,9335.6
10465,9391.9
10536,9448
10607,9504.1
10677,9560.1
10748,9615.9
10819,9671.7
10889,9727.4
10960,9782.9
11031,9838.4
11102,9893.8
11172,9949.1
11243,10004
11314,10059
11384,10114
11455,10169
11526,10224
11597,10279
11667,10333
11738,10388
11809,10442
11879,10496
11950,10551
12021,10605
12092,10659
12162,10713
12233,10766
12304,10820
12374,10874
12445,10927
12516,10981
12587,11034
12657,11087
12728,11140
12799,11193
12869,11246
12940,11299
13011,11352
13081,11404
13152,11457
13223,11509
13294,11562
13364,11614
13435,11666
13506,11718
13576,11770
13647,11822
13718,11874
13789,11925
13859,11977
13930,12028
14001,12080
14071,12131
14142,12182
14213,12233
14284,12284
14354,12335
14425,12386
14496,12436
14566,12487
14637,12538
14708,12588
14779,12638
14849,12688
14920,12738
14991,12788
15061,12838
15132,12888
15203,12938
15274,12987
15344,13037
15415,13086
15486,13136
15556,13185
15627,13234
15698,13283
15768,13332
15839,13381
15910,13429
15981,13478
16051,13526
16122,13575
16193,13623
16263,13671
16334,13719
16405,13768
16476,13815
16546,13863
16617,13911
16688,13959
16758,14006
16829,14054
16900,14101
16971,14148
17041,14195
17112,14242
17183,14289
17253,14336
17324,14383
17395,14430
17466,14476
17536,14523
17607,14569
17678,14615
17748,14661
17819,14707
17890,14753
17961,14799
18031,14845
18102,14891
18173,14936
18243,14982
18314,15027
18385,15072
18455,15118
18526,15163
18597,15208
18668,15253
18738,15297
18809,15342
18880,15387
18950,15431
19021,15475
19092,15520
19163,15564
19233,15608
19304,15652
19375,15696
19445,15740
19516,15784
19587,15827
19658,15871
19728,15914
19799,15957
19870,16001
19940,16044
20011,16087
20082,16130
20153,16173
20223,16215
20294,16258
20365,16300
20435,16343
20506,16385
20577,16427
20648,16470
20718,16512
20789,16554
20860,16595
20930,16637
21001,16679
21072,16720
21142,16762
21213,16803
21284,16844
21355,16886
21425,16927
21496,16968
21567,17009
21637,17049
21708,17090
21779,17131
21850,17171
21920,17211
21991,17252
22062,17292
22132,17332
22203,17372
22274,17412
22345,17452
22415,17491
22486,17531
22557,17570
22627,17610
22698,17649
22769,17688
22840,17727
22910,17766
22981,17805
23052,17844
23122,17883
23193,17921
23264,17960
23335,17998
23405,18037
23476,18075
23547,18113
23617,18151
23688,18189
23759,18227
23829,18265
23900,18302
23971,18340
24042,18377
24112,18415
24183,18452
24254,18489
24324,18526
24395,18563
24466,18600
24537,18637
24607,18673
24678,18710
24749,18746
24819,18783
24890,18819
24961,18855
25032,18891
25102,18927
25173,18963
25244,18999
25314,19034
25385,19070
25456,19105
25527,19141
25597,19176
25668,19211
25739,19246
25809,19281
25880,19316
25951,19351
26022,19386
26092,19420
26163,19455
26234,19489
26304,19524
26375,19558
26446,19592
26517,19626
26587,19660
26658,19694
26729,19727
26799,19761
26870,19794
26941,19828
27011,19861
27082,19894
27153,19928
27224,19961
27294,19994
27365,20026
27436,20059
27506,20092
27577,20124
27648,20157
27719,20189
27789,20221
27860,20253
27931,20285
28001,20317
28072,20349
28143,20381
28214,20413
28284,20444
28355,20476
28426,20507
28496,20538
28567,20570
28638,20601
28709,20632
28779,20662
28850,20693
28921,20724
28991,20754
29062,20785
29133,20815
29204,20846
29274,20876
29345,20906
29416,20936
29486,20966
29557,20996
29628,21025
29698,21055
29769,21084
29840,21114
29911,21143
29981,21172
30052,21201
30123,21230
30193,21259
30264,21288
30335,21317
30406,21345
30476,21374
30547,21402
30618,21431
30688,21459
30759,21487
30830,21515
30901,21543
30971,21571
31042,21599
31113,21626
31183,21654
31254,21681
31325,21709
31396,21736
31466,21763
31537,21790
31608,21817
31678,21844
31749,21871
31820,21897
31891,21924
31961,21950
32032,21977
32103,22003
32173,22029
32244,22055
32315,22081
32385,22107
32456,22133
32527,22159
32598,22184
32668,22210
32739,22235
32810,22260
32880,22285
32951,22311
33022,22336
33093,22360
33163,22385
33234,22410
33305,22435
33375,22459
33446,22483
33517,22508
33588,22532
33658,22556
33729,22580
33800,22604
33870,22628
33941,22652
34012,22675
34083,22699
34153,22722
34224,22745
34295,22769
34365,22792
34436,22815
34507,22838
34578,22861
34648,22883
34719,22906
34790,22929
34860,22951
34931,22973
35002,22996
35072,23018
35143,23040
35214,23062
35285,23084
35355,23105
35426,23127
35497,23149
35567,23170
35638,23191
35709,23213
35780,23234
35850,23255
35921,23276
35992,23297
36062,23318
36133,23338
36204,23359
36275,23379
36345,23400
36416,23420
36487,23440
36557,23460
36628,23480
36699,23500
36770,23520
36840,23540
36911,23559
36982,23579
37052,23598
37123,23617
37194,23637
37265,23656
37335,23675
37406,23694
37477,23713
37547,23731
37618,23750
37689,23768
37760,23787
37830,23805
37901,23823
37972,23842
38042,23860
38113,23878
38184,23895
38254,23913
38325,23931
38396,23948
38467,23966
38537,23983
38608,24000
38679,24017
38749,24035
38820,24052
38891,24068
38962,24085
39032,24102
39103,24118
39174,24135
39244,24151
39315,24167
39386,24184
39457,24200
39527,24216
39598,24232
39669,24247
39739,24263
39810,24279
39881,24294
39952,24310
40022,24325
40093,24340
40164,24355
40234,24370
40305,24385
40376,24400
40447,24414
40517,24429
40588,24444
40659,24458
40729,24472
40800,24487
40871,24501
40941,24515
41012,24529
41083,24542
41154,24556
41224,24570
41295,24583
41366,24597
41436,24610
41507,24623
41578,24636
41649,24649
41719,24662
41790,24675
41861,24688
41931,24701
42002,24713
42073,24726
42144,24738
42214,24750
42285,24762
42356,24774
42426,24786
42497,24798
42568,24810
42639,24822
42709,24833
42780,24845
42851,24856
42921,24867
42992,24879
43063,24890
43134,24901
43204,24911
43275,24922
43346,24933
43416,24944
43487,24954
43558,24964
43628,24975
43699,24985
43770,24995
43841,25005
43911,25015
43982,25025
44053,25034
44123,25044
44194,25054
44265,25063
44336,25072
44406,25081
44477,25091
44548,25100
44618,25109
44689,25117
44760,25126
44831,25135
44901,25143
44972,25152
45043,25160
45113,25168
45184,25176
45255,25184
45326,25192
45396,25200
45467,25208
45538,25216
45608,25223
45679,25231
45750,25238
45821,25245
45891,25252
45962,25259
46033,25266
46103,25273
46174,25280
46245,25287
46315,25293
46386,25300
46457,25306
46528,25312
46598,25319
46669,25325
46740,25331
46810,25337
46881,25342
46952,25348
47023,25354
47093,25359
47164,25364
